sno,label
1000025,0
1002945,0
1015425,0
1016277,0
1017023,0
1017122,1
1018099,0
1018561,0
1033078,0
1035283,0
1036172,0
1041801,1
1043999,0
1044572,1
1047630,1
1048672,0
1049815,0
1050670,1
1050718,0
1054590,1
1054593,1
1056784,0
1057013,1
1059552,0
1065726,1
1066373,0
1066979,0
1067444,0
1070935,0
1071760,0
1072179,1
1074610,0
1075123,0
1079304,0
1080185,1
1081791,0
1084584,1
1091262,1
1096800,0
1099510,1
1100524,1
1102573,1
1103608,1
1103722,0
1105257,1
1105524,0
1106095,0
1106829,1
1108370,1
1108449,1
1110102,1
1110503,1
1110524,1
1111249,1
1112209,1
1113038,1
1113483,1
1113906,1
1115282,1
1115293,0
1116116,1
1116132,1
1116192,0
1116998,1
1117152,0
1118039,1
1120559,1
1121732,0
1121919,0
1123061,1
1124651,0
1125035,1
1126417,1
1131294,0
1132347,0
1133041,0
1133136,0
1136142,0
1137156,0
1143978,0
1147044,0
1147699,1
1147748,1
1148278,1
1148873,1
1152331,0
1155546,0
1156272,0
1156948,0
1157734,0
1158247,0
1160476,0
1164066,0
1165297,0
1165790,0
1165926,1
1166630,1
1166654,1
1167439,1
1167471,0
1168359,1
1168736,1
1169049,1
1170419,1
1170420,1
1171710,0
1171795,0
1171845,1
1172152,1
1173216,1
1173235,0
1173347,0
1173509,1
1173514,0
1173681,0
1174057,0
1174131,1
1174428,1
1175937,1
1176406,0
1176881,1
1177027,0
1177399,1
1177512,0
1178580,0
1179818,0
1180194,1
1180523,0
1180831,0
1181356,0
1182404,0
1182410,0
1183240,0
1183246,0
1183516,0
1183911,0
1183983,1
1184184,0
1184241,0
1184840,0
1185609,1
1185610,0
1187457,0
1187805,1
1188472,0
1189266,1
1189286,1
1190394,0
1190485,0
1192325,1
1193091,0
1193210,0
1193683,0
1196295,1
1196915,1
1197080,0
1197270,0
1197440,0
1197510,0
1197979,0
1197993,1
1198128,1
1198641,0
1199219,0
1199731,0
1199983,0
1200772,0
1200847,1
1200892,1
1200952,1
1201834,0
1201936,1
1202125,0
1202812,1
1203096,0
1204242,0
1204898,0
1205138,1
1205579,1
1206089,0
1206695,1
1206841,1
1207986,1
1208301,0
1210963,1
1211202,1
1212232,0
1212251,0
1212422,0
1213375,0
1213383,0
1214092,0
1214556,0
1214966,1
1216694,1
1216947,0
1217051,0
1217264,0
1218105,1
1218741,1
1218860,0
1219406,0
1219525,1
1219859,1
1220330,0
1221863,1
1222047,1
1222936,1
1223282,0
1223426,0
1223793,1
1223967,0
1224329,0
1225799,1
1226012,1
1226612,1
1227210,1
1227244,0
1227481,1
1228152,1
1228311,0
1230175,1
1230688,1
1231387,1
1231706,0
1232225,1
1236043,0
1241232,0
1241559,1
1241679,1
1242364,1
1243256,1
1270479,0
1276091,0
1277018,0
128059,0
1285531,0
1287775,0
144888,1
145447,1
167528,0
169356,0
183913,0
191250,1
242970,0
255644,1
263538,1
274137,1
303213,1
314428,1
320675,1
324427,1
385103,0
390840,1
411453,0
428903,1
431495,0
432809,0
434518,0
452264,0
456282,0
476903,1
486283,0
486662,0
488173,1
492268,1
508234,1
527363,1
529329,1
535331,0
543558,1
555977,1
560680,0
561477,0
563649,1
601265,1
606140,0
606722,1
616240,0
61634,0
625201,0
63375,1
635844,1
636130,0
640744,1
646904,0
653777,1
659642,1
666090,0
666942,0
667204,1
673637,0
684955,0
688033,0
691628,1
693702,0
704097,0
