sno,label
1,1
2,0
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,0
11,0
12,0
13,1
14,0
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,0
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,0
64,0
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,1
93,0
94,1
95,1
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,0
107,0
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,0
118,1
119,0
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,1
128,0
129,1
130,0
131,1
132,0
133,1
134,1
135,1
136,1
137,1
138,0
139,1
140,1
141,1
142,1
143,1
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,1
169,1
170,0
171,0
172,1
173,0
174,1
175,0
176,0
177,1
178,1
179,1
180,1
181,0
182,0
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,1
191,0
192,0
193,0
194,1
195,0
196,0
197,1
198,0
199,1
200,0
201,1
202,1
203,1
204,0
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,0
228,0
229,0
230,1
231,0
232,1
233,1
234,1
235,1
236,0
237,0
238,0
239,1
240,1
241,0
242,1
243,0
244,1
245,1
246,1
247,1
248,1
249,1
250,0
251,1
252,1
253,0
254,1
255,1
256,1
257,1
258,0
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,0
275,0
276,1
277,1
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,0
291,1
292,0
293,1
294,1
295,1
296,0
297,1
298,1
299,1
300,1
301,1
302,0
303,0
304,1
305,0
306,1
307,1
308,0
309,0
310,1
311,1
312,1
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,0
333,0
334,0
335,0
336,0
337,1
338,0
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,0
351,1
352,0
353,1
354,0
355,1
356,0
357,1
358,0
359,1
360,0
361,1
362,1
363,1
364,1
365,0
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,1
374,1
375,0
376,0
377,1
378,1
379,0
380,1
381,1
382,0
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,0
400,1
401,1
402,1
403,0
404,1
405,1
406,0
407,1
408,1
409,1
410,0
411,1
412,1
413,0
414,1
415,0
416,1
417,0
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,0
431,1
432,0
433,1
434,1
435,1
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,1
444,0
445,0
446,1
447,0
448,1
449,1
450,0
451,1
452,1
453,1
454,1
455,0
456,1
457,1
458,0
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,1
469,1
470,1
471,0
472,0
473,0
474,1
475,0
476,0
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,0
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,1
495,1
496,0
497,0
498,1
499,1
500,1
501,0
502,1
503,1
504,0
505,0
506,0
507,1
508,0
509,1
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,1
522,0
523,0
524,1
525,1
526,1
527,1
528,1
529,0
530,1
531,1
532,0
533,1
534,1
535,1
536,0
537,1
538,1
539,0
540,1
541,0
542,1
543,0
544,0
545,1
546,0
547,1
548,1
549,0
550,1
551,1
552,1
553,0
554,1
555,1
556,0
557,0
558,0
559,0
560,0
561,1
562,0
563,1
564,0
565,1
566,1
567,0
568,1
569,1
570,0
571,0
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,0
580,1
581,0
582,1
583,1
584,0
585,1
586,0
587,1
588,1
589,0
590,0
591,1
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,0
600,1
601,1
602,0
603,0
604,0
605,1
606,1
607,1
608,0
609,1
610,1
611,0
612,0
613,1
614,1
615,0
616,1
617,1
618,1
619,0
620,1
621,1
622,0
623,0
624,1
625,0
626,1
627,1
628,0
629,1
630,1
631,1
632,0
633,1
634,0
635,0
636,1
637,1
638,1
639,1
640,0
641,0
642,1
643,0
644,1
645,1
646,0
647,1
648,0
649,0
650,0
651,1
652,0
653,0
654,0
655,1
656,1
657,0
658,1
659,1
660,1
661,1
662,0
663,1
664,1
665,1
666,1
667,1
668,1
669,0
670,1
671,1
672,1
673,1
674,1
675,0
676,1
677,1
678,0
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,0
702,0
703,1
704,1
705,1
706,1
707,0
708,0
709,1
710,1
711,1
712,0
713,1
714,1
715,0
716,1
717,1
718,1
719,1
720,1
721,0
722,0
723,0
724,1
725,0
726,1
727,1
728,0
729,0
730,1
731,1
732,0
733,1
734,1
735,1
736,1
737,0
738,1
739,1
740,0
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,0
749,1
750,1
751,1
752,0
753,1
754,1
755,0
756,0
757,1
758,0
759,1
760,0
761,1
762,0
763,1
764,0
765,1
766,1
767,0
768,1
769,1
770,1
771,1
772,0
773,1
774,1
775,1
776,0
777,1
778,1
779,1
780,1
781,0
782,1
783,1
784,0
785,1
786,1
787,1
788,1
789,0
790,0
791,0
792,1
793,1
794,1
795,1
796,1
797,0
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,0
807,1
808,1
809,1
810,0
811,1
812,1
813,0
814,0
815,0
816,1
817,1
818,1
819,1
820,0
821,1
822,1
823,0
824,1
825,1
826,1
827,0
828,0
829,0
830,1
831,1
832,0
833,0
834,1
835,0
836,0
837,1
838,1
839,1
840,1
841,0
842,1
843,0
844,1
